,Bias,Variance,Error,Bias + variance,Error >= Bias+Variance
1,0.03942428468145336,0.0001721941099073088,0.039596478791360676,0.03959647879136067,True
2,0.034332750216971124,0.0002570553280834232,0.03458980554505455,0.034589805545054544,True
3,0.01277069211615224,0.00014471696149234535,0.012915409077644586,0.012915409077644586,True
4,0.010565645631095672,0.00018168534513051074,0.010747330976226181,0.010747330976226183,False
5,0.009728054501749264,0.00024451485215279617,0.00997256935390206,0.00997256935390206,True
6,0.0085964595278116,0.00026514694304288744,0.00886160647085449,0.008861606470854488,True
7,0.010397960546518512,0.00029145759204616487,0.010689418138564676,0.010689418138564676,True
8,0.012412662432005108,0.00029066861435721007,0.012703331046362317,0.012703331046362318,False
9,0.00958242730253279,0.0004491253182025502,0.01003155262073534,0.01003155262073534,True
10,0.008958653802565133,0.0003191098244080435,0.009277763626973176,0.009277763626973176,True
11,0.010257328671791069,0.0003485343653837155,0.01060586303717478,0.010605863037174784,False
12,0.010377440990306765,0.0003744418457233139,0.010751882836030078,0.01075188283603008,False
13,0.009794230982256008,0.0004011806565718526,0.010195411638827862,0.010195411638827862,True
14,0.010353828711657364,0.0004109328874119765,0.010764761599069339,0.01076476159906934,False
15,0.010667470498846887,0.00034453142240449867,0.011012001921251386,0.011012001921251386,True
16,0.0106373508180515,0.000597609521989935,0.011234960340041435,0.011234960340041435,True
17,0.010319099750737852,0.0006077725681653908,0.010926872318903245,0.010926872318903243,True
18,0.009688756822780085,0.0003747027432960834,0.010063459566076167,0.010063459566076169,False
19,0.009617092855163012,0.00043734392704385344,0.010054436782206863,0.010054436782206865,False
20,0.011278237735815702,0.0005750613991496937,0.011853299134965396,0.011853299134965396,True
21,0.01125167309189485,0.00048574639428232744,0.01173741948617718,0.011737419486177177,True
22,0.010601086523786649,0.0011147712068910163,0.011715857730677666,0.011715857730677666,True
23,0.010303172168742918,0.00045851923656160093,0.01076169140530452,0.01076169140530452,True
24,0.011740888265160626,0.0005278353211198268,0.012268723586280452,0.012268723586280453,False
25,0.010258762585682916,0.0008919810509544251,0.011150743636637341,0.011150743636637341,True
26,0.009832284590102526,0.0004737344942776947,0.01030601908438022,0.010306019084380221,False
27,0.008280836263165442,0.0005719462850677327,0.008852782548233176,0.008852782548233174,True
28,0.009589287691887653,0.0006250002478552199,0.010214287939742875,0.010214287939742873,True
29,0.008029396352741578,0.0006449087739910211,0.0086743051267326,0.0086743051267326,True
30,0.010545947703240808,0.0005949445108207308,0.011140892214061537,0.011140892214061539,False
31,0.010456709308404142,0.0006004365064116828,0.011057145814815822,0.011057145814815825,False
32,0.010305034551775243,0.0005130351541999748,0.010818069705975217,0.010818069705975217,True
33,0.010011179481938186,0.001035486222483641,0.011046665704421827,0.011046665704421827,True
34,0.009597948733649064,0.0006011700600428694,0.010199118793691932,0.010199118793691933,False
35,0.008760026654751672,0.001540847411094145,0.01030087406584582,0.010300874065845816,True
36,0.010804032929904036,0.0005649355214630161,0.01136896845136705,0.011368968451367052,False
37,0.013614958974214286,0.0033358184015692283,0.016950777375783516,0.016950777375783516,True
38,0.009959708599997822,0.0005516699511511319,0.010511378551148953,0.010511378551148953,True
39,0.00974225543983977,0.0005775820640837298,0.010319837503923499,0.0103198375039235,False
40,0.009372906883973816,0.001995995654736553,0.01136890253871037,0.01136890253871037,True
41,0.010779499604038043,0.0005537294691281787,0.011333229073166225,0.011333229073166222,True
42,0.009195330506554399,0.012495666436446798,0.0216909969430012,0.021690996943001195,True
43,0.009889556358094409,0.0009099384481248301,0.01079949480621924,0.010799494806219239,True
44,0.009960028233328876,0.0014828368991018327,0.011442865132430707,0.011442865132430709,False
45,0.011836471959835858,0.00147137733235475,0.013307849292190609,0.013307849292190609,True
46,0.01087477080936804,0.001034683682196098,0.011909454491564135,0.011909454491564138,False
47,0.011796131177619048,0.010539852811496593,0.02233598398911564,0.02233598398911564,True
48,0.011054436148127574,0.0005128137087545221,0.011567249856882096,0.011567249856882095,True
49,0.013022244470615845,0.006291506350196929,0.019313750820812773,0.019313750820812776,False
50,0.009431291094759476,0.0010174443913945111,0.010448735486153988,0.010448735486153988,True
